"";"ILI rate";"αρ. γριπωδών συνδρομών";"αρ. επισκέψεων";"ILI rate variance";"Παθολόγοι / Γεν.ιατροί που δήλωσαν";"Παιδίατροι που δήλωσαν";"Εκτιμώμενος πληθυσμιακός παρονομαστής (σύνολο)"
"200614";1,72;285;17476;1,41174204447425;99;63;221195
"200615";0,99;211;16921;1,38558307169264;98;58;216454
"200616";2,46;108;10589;1,26397079113616;88;48;192023
"200617";1,57;84;9311;1,19553044087156;74;53;168732
"200618";0,45;102;13672;2,97383720053035;89;57;199061
"200619";0,12;92;16095;4,79423634401664;90;59;202078
"200620";0,26;81;15742;1,95899802596406;93;56;205962
"200621";0,17;55;13110;3,59199416448578;86;51;190008
"200622";0,16;56;12926;3,10747896599954;85;52;188714
"200623";0,06;53;13976;8,06656185851502;89;48;193891
"200624";0,14;46;11467;4,68703792954416;80;44;174775
"200625";0,05;43;12727;5,24204438970487;82;47;180236
"200626";0,04;30;10932;5,52808881317558;76;44;167300
"200627";0,02;34;12471;8,52535081841847;76;50;170746
"200628";0,05;37;13141;1,42348188456027;84;50;185696
"200629";0,1;49;10497;3,48300176614108;69;41;152495
"200630";0,01;24;9820;3,07950897858774;63;36;138411
"200631";0,09;18;10022;1,48952461331786;63;34;137262
"200632";0,23;43;11463;6,15344470770173;70;36;151492
"200633";0,19;43;7156;1,5479256275464;62;26;130798
"200634";0,1;35;10179;1,71388260981422;68;40;150052
"200635";0,03;36;11325;9,04862134538848;74;46;164711
"200636";0,01;38;13833;14,1273583906007;80;40;172477
"200637";0,04;34;13871;9,84593253805564;83;51;184402
"200638";0,06;69;15112;6,18226658034772;87;49;190728
"200639";0,1;92;15436;4,06266757584951;88;51;193746
"200640";0,18;80;15066;3,49852828992376;88;43;189151
"200641";0,14;79;35556;1,25626299450563;92;43;196626
"200642";0,22;79;12744;3,50747433088474;88;39;186853
"200643";0,29;90;13565;2,50065861847557;92;45;197775
"200644";0,13;72;15619;3,62257263023904;93;46;200218
"200645";0,15;83;13957;3,74886347365315;88;42;188576
"200646";0,14;95;17094;1,25749888841138;100;61;221915
"200647";0,21;105;16978;3,08388953388565;97;63;217457
"200648";0,13;79;14962;1,51498181740364;93;56;205962
"200649";0,51;87;16041;1,89178805939196;100;53;217320
"200650";0,34;103;16513;1,13073377233234;99;53;215451
"200651";0,37;101;13570;1,15046094029182;87;48;190154
"200652";3,73;145;7393;3,91920277638129;73;47;163417
"200701";3,07;435;12235;2,64363570260868;89;49;194466
"200702";15,89;796;21508;1,03904381796648;113;69;250804
"200703";27,1;1090;20810;1,02158091773025;107;75;243038
"200704";19,59;863;20824;1,02866418967426;115;67;253393
"200705";18,41;660;19649;1,02573386326262;117;73;260577
"200706";12,34;478;18138;1,03729163726197;100;71;227659
"200707";9,84;405;18960;1,0340343042002;109;69;243329
"200708";5,14;211;16701;1,0606383090991;109;67;242180
"200709";4,16;258;18176;1,06773731182688;105;70;236428
"200710";3,48;234;18673;1,21090196822312;103;63;228670
"200711";1,32;227;18191;1,2684189843985;110;61;240603
"200712";0,67;240;17183;1,53241698780357;106;63;234276
"200713";3,17;165;16559;1,10951299155669;99;55;216600
"200714";1,13;112;12433;1,3473192059221;89;52;196189
"200715";1,07;113;11818;1,61025580362038;89;53;196763
"200716";0,41;126;18839;2,35879272421525;109;60;238160
"200717";0,43;92;15432;2,40625481358161;100;53;217320
"200718";0,14;73;12919;3,24946222736231;90;58;201504
"200719";0,35;103;16340;1,99437811772057;103;56;224649
"200720";0,07;61;15910;2,82138592422007;108;58;235142
"200721";0,13;64;14134;1,27048870038869;100;45;212725
"200722";0,07;51;12848;9,52631030251301;98;45;208987
"200723";0,1;35;14512;3,86450356402426;95;41;201083
"200724";0,16;53;13363;2,38485832018793;89;43;191019
"200725";0,17;27;13697;1,21130772482943;94;42;199789
"200726";0,06;16;11900;1,37550608176508;90;44;193463
"200727";0,06;29;12351;1,37865033829835;82;41;176789
"200728";0,05;32;12150;140,474586128252;81;41;174920
"200729";0,01;39;10523;1,0993262838015;74;37;159542
"200730";0,01;27;9882;1,27445054471376;67;34;144737
"200731";0,01;24;11272;34,2652636168234;73;36;157098
"200732";0,08;28;10992;1,57934023441119;67;28;141291
"200733";0;28;8724;1,51298742128836;68;27;142585
"200734";0,11;40;10015;1,32325284713115;69;26;143879
"200735";0,09;54;11313;44,0899150597539;79;31;165439
"200736";0,22;55;14889;2,06003960850831;85;43;183544
"200737";0,15;72;14032;2,09814085877688;89;40;189296
"200738";0,07;88;14678;10,8540219218384;86;41;184264
"200739";0,25;110;15529;2,13279752437716;90;44;193463
"200740";0,35;87;15973;2,482372686533;92;44;197200
"200741";0,52;155;16906;1,68823124947523;96;44;204675
"200742";0,34;112;14622;3,05061207190359;93;45;199643
"200743";0,64;120;14971;1,91130388540153;99;46;211430
"200744";0,27;119;16024;14,130619274562;99;46;211430
"200745";0,32;89;15660;2,19219602000554;96;48;206973
"200746";0,33;85;15395;3,05288188528637;100;41;210427
"200747";0,22;86;14070;2,98525636189603;95;39;199934
"200748";0,48;90;14110;1,92326752709388;99;39;207410
"200749";0,57;87;13537;3,02200316856761;90;38;190016
"200750";0,89;102;14550;1,73498284651456;96;42;203526
"200751";0,56;74;13139;2,85639752160367;88;34;183981
"200752";0,12;60;4730;15,7612718587711;56;23;117862
"200801";5,83;129;8621;1,22092500318083;74;33;157244
"200802";9,39;293;17984;1,07443160980908;101;43;213445
"200803";20,02;512;18229;1,019581137537;105;53;226664
"200804";24,3;531;17843;1,0193674778402;101;51;218040
"200805";17,97;490;16178;1,03411023298552;102;55;222206
"200806";13,59;425;18725;1,03264356149821;99;54;216025
"200807";9,05;367;15623;1,08396568573128;92;58;205242
"200808";9,17;317;16443;1,05830481951456;105;51;225515
"200809";7,26;298;17547;1,0523891134998;106;55;229681
"200810";5,64;232;18800;1,0841250858138;108;54;232844
"200811";5,91;212;13848;1,07615078215076;98;54;214157
"200812";4,63;157;15721;1,04062909479583;96;51;208696
"200813";2,66;133;13534;1,15514773272147;96;48;206973
"200814";2,11;134;17440;1,11195249824445;96;46;205824
"200815";1,46;172;17301;1,41034280515478;102;50;219334
"200816";2,97;118;16284;1,08004721425413;91;46;196480
"200817";0,19;77;11427;5,16694121290292;86;38;182541
"200818";0,08;41;6212;5,58655655670585;67;38;147035
"200819";0,28;96;19229;2,92604342850489;97;45;207118
"200820";1,22;59;14892;1,72108939221324;93;37;195048
"200821";0,49;63;12661;1,98308061646624;85;38;180672
"200822";2,08;55;14298;1,11996435730991;86;38;182541
"200823";0,44;44;14675;3,62142427061791;92;33;190882
"200824";0,48;40;13398;3,6589881998398;81;34;170900
"200825";0,21;60;12076;8,33307374261635;92;40;194903
"200826";0,38;41;12965;4,33984978849007;83;34;174637
"200827";0,05;25;14031;1,6650661798847;84;38;178804
"200828";0,37;30;12937;5,80304006526475;78;33;164719
"200829";0,08;29;12672;1,39220362883737;80;32;167882
"200830";0,17;32;11514;1,35335004545883;72;28;150634
"200831";0,15;21;11568;25,5999906865188;73;27;151929
"200832";0,16;22;12660;1,40909464454198;72;31;152358
"200833";0,11;30;8963;1,22485182390615;62;26;130798
"200834";0,11;40;11818;1,23735720974932;71;30;149914
"200835";0,58;37;12445;1,81250717877052;73;28;152503
"200836";0,08;30;14230;2,39513380128154;75;34;159687
"200837";0,04;55;13856;30,9928821770709;83;34;174637
"200838";0,12;56;13176;16,1329834139346;76;35;162130
"200839";0,48;91;14830;2,49108659437881;84;33;175932
"200840";1,23;93;15313;1,26444906572726;86;38;182541
"200841";1,41;134;16857;1,50215347686297;86;37;181967
"200842";0,61;113;14924;2,99812433870394;85;35;178949
"200843";0,23;62;13919;5,7500239390698;84;34;176506
"200844";0,42;59;11411;3,66327809239584;88;29;181109
"200845";0,38;109;15600;2,53633344173998;93;34;193325
"200846";0,61;80;14924;2,02230537740505;90;36;188867
"200847";2,15;93;13319;1,26391342609749;88;33;183407
"200848";1,73;97;13193;4,09362469277233;81;35;171474
"200849";1,82;88;15821;1,25150016964722;91;40;193034
"200850";0,84;96;15712;1,70571905031629;97;43;205970
"200851";1,27;104;16065;1,61101391648746;96;40;202378
"200852";1,17;88;6738;3,90376102936624;77;31;161701
"200901";0,81;84;7759;1,07060669756051;74;27;153798
"200902";3,31;164;14680;1,28155869042336;99;42;209133
"200903";7,31;243;20771;1,04402595394863;109;50;232416
"200904";10,01;319;19248;1,03859822077729;106;52;227958
"200905";9,84;311;18155;1,04560154986674;108;45;227675
"200906";14,54;404;19833;1,02513635296187;112;52;239171
"200907";15,53;449;17722;1,02705803177948;102;51;219909
"200908";22,04;498;15630;1,01898879453556;86;48;188285
"200909";26,99;620;18481;1,02376709888396;103;48;220054
"200910";29,02;828;18063;1,0159539290966;104;53;224795
"200911";27,31;719;18931;1,02095709871757;97;51;210565
"200912";16,66;529;18898;1,03329024666946;106;47;225086
"200913";13,94;389;14359;1,05090682357228;96;46;205824
"200914";5,79;224;17528;1,07520736490306;103;48;220054
"200915";2,26;148;16972;2,25056373877056;96;45;205250
"200916";0,18;91;12807;13,6954814066909;93;42;197920
"200917";0,21;70;9992;18,6297674190357;81;43;176069
"200918";1,19;151;16695;1,88710275525624;100;42;211002
"200919";1,36;140;17911;1,55705298440185;98;49;211285
"200920";0,71;127;16994;1,69663251606212;98;51;212434
"200921";0,36;110;17207;1,16808004868908;108;48;229398
"200922";0,42;95;17597;2,33273867132361;106;51;227384
"200923";0,21;74;19095;2,85574748572419;108;50;230547
"200924";0,21;82;15373;3,47397710897381;106;47;225086
"200925";0,41;66;16003;2,41363814860231;95;40;200509
"200926";0,3;63;15769;4,43750295114976;94;48;203235
"200927";0,17;63;16954;1,80052347846216;98;45;208987
"200928";0,23;67;16365;2,88939679569647;89;45;192168
"200929";0,53;54;15049;3,15320081514501;87;40;185559
"200930";0,88;75;14471;3,94204534330974;89;37;187573
"200931";0,15;111;13330;1,31650520133022;76;35;162130
"200932";0,93;79;14858;1,37855761824981;82;37;174492
"200933";3,17;106;13522;1,33013901291854;87;28;178666
"200934";0,63;117;13737;1,18798295634264;82;32;171620
"200935";0,35;69;14470;2,81216655247672;90;32;186570
"200936";2,09;82;15714;1,32722090568122;92;36;192605
"200937";1,26;86;17369;1,28684394121011;109;38;225523
"200938";0,93;121;17102;1,59699518774047;103;45;218331
"200939";3,26;169;17518;1,05205836079102;103;49;220629
"200940";6,05;253;20007;1,09546535089274;109;53;234139
"200941";7,48;275;20570;1,05324726682135;108;56;233993
"200942";6,96;216;19056;1,05150781553299;109;56;235862
"200943";6,04;221;18391;1,06246264360683;106;58;231404
"200944";8,9;258;15964;1,06016273256481;114;60;247503
"200945";11,92;412;21841;1,03311398306852;114;59;246929
"200946";24,71;626;19211;1,01995141643992;115;61;249947
"200947";35,29;974;20183;1,0168641171122;112;61;244340
"200948";51,58;1299;20754;1,0106865498107;115;62;250521
"200949";43,85;974;19744;1,00724755060469;112;60;243766
"200950";34,51;857;19773;1,00960491371851;116;59;250667
"200951";27,24;723;19069;1,01900302507874;121;59;260010
"200952";20,1;345;10414;1,03496754363805;93;47;200792
"200953";19,27;259;8436;1,08808069345725;82;36;173917
"201001";14,05;280;13279;1,04509506153193;99;46;211430
"201002";8,92;288;20132;1,03812231214314;110;55;237156
"201003";8,08;241;16892;1,03885612070861;108;56;233993
"201004";10,21;258;16391;1,03764526783692;104;59;228241
"201005";7,26;317;16442;1,06425939934424;98;53;213582
"201006";8,08;244;16723;1,05242868595325;106;53;228532
"201007";5,4;233;17067;1,08892654986947;113;55;242763
"201008";7,94;334;19146;1,04944645176198;113;60;245635
"201009";5,69;295;18319;1,0776286478704;111;53;237876
"201010";4,06;257;16881;1,11017935315741;108;56;233993
"201011";2,89;198;16072;1,18407529384606;99;53;215451
"201012";2,15;133;12880;1,50630597406796;97;46;207693
"201013";1,12;116;12035;2,32429904896447;91;41;193608
"201014";1,21;118;11685;1,50424112763997;81;41;174920
"201015";2,42;127;18457;1,06873563965163;106;47;225086
"201016";2,23;121;14965;1,25290930733343;99;50;213728
"201017";1,43;126;16327;1,41448285352289;105;42;220345
"201018";0,81;111;16535;1,41239887103918;108;51;231121
"201019";0,13;103;18543;4,82827154155335;111;57;240174
"201020";0,24;86;15218;2,79518873625099;101;55;220337
"201021";0,31;68;12994;2,48930986076086;92;35;192031
"201022";0,11;65;14210;4,46309157267941;90;34;187719
"201023";0,16;52;14928;4,28941336890816;91;35;190162
"201024";0,56;55;13286;2,4001652145615;92;30;189159
"201025";0,18;49;13541;4,22063279643165;88;33;183407
"201026";0,34;49;13352;3,44806603512036;91;28;186141
"201027";0,16;41;13808;206,197199938099;83;31;172914
"201028";0,11;37;12178;1,61838903841334;78;27;161273
"201029";0,54;24;10570;1,9560979988901;68;18;137415
"201030";0,14;46;11192;1,42804340167861;67;22;137844
"201031";0,47;41;12375;5,88512194525059;69;24;142731
"201032";0,04;47;12319;1,18854414957715;72;22;147188
"201033";0,02;70;12010;4,60509206978694;75;19;151071
"201034";0,1;70;12207;1,18491105270425;68;25;141436
"201035";0,29;47;14140;43,1912925203638;81;26;166305
"201036";0,52;55;15446;4,79244858034128;86;31;178520
"201037";0,02;34;12916;18,9299935115325;84;31;174783
"201038";0,02;48;12296;2,92131516013228;80;32;167882
"201039";0,17;93;14980;126,078231035872;84;29;173634
"201040";0,31;85;14441;19,8651125794335;81;30;168602
"201041";1,07;109;14236;1,56313800375724;89;32;184701
"201042";0,39;97;14308;2,47397254599702;92;33;190882
"201043";0,35;76;10315;3,70647758731219;84;23;170188
"201044";0,8;102;16150;2,16480082053744;90;33;187144
"201045";1,03;91;14357;3,09568849326172;90;32;186570
"201046";0,62;148;17173;2,74587645088768;107;54;230976
"201047";1,01;149;15765;1,41345890339674;100;49;215022
"201048";1,4;122;17660;1,37563852890144;106;53;228532
"201049";0,29;114;16145;2,39215087406983;101;51;218040
"201050";0,7;80;13070;2,54668637497046;101;58;222061
"201051";1,65;135;15247;2,07390354981505;90;52;198058
"201052";2,62;158;10914;1,29548615701863;77;43;168594
"201101";6,76;201;13137;1,04627681895888;96;43;204101
"201102";11,65;348;22040;1,0280081069523;110;55;237156
"201103";19,31;503;17772;1,03014003848857;109;54;234713
"201104";39,91;949;19295;1,01529421329296;110;51;234859
"201105";52,09;811;17338;1,00950784848357;103;50;221203
"201106";43,72;789;16404;1,02044330420243;105;54;227238
"201107";33,68;837;20211;1,00802306401961;106;58;231404
"201108";21,45;482;16933;1,02080689367385;102;54;221632
"201109";16,5;423;18792;1,01795373639451;103;58;225798
"201110";10,59;279;14458;1,08465819724603;102;52;220483
"201111";4,66;229;17251;1,09911424399601;101;55;220337
"201112";3,21;150;13703;1,18500431221228;99;45;210856
"201113";2,21;127;16311;1,45994529410389;101;48;216317
"201114";0,68;114;18288;2,92804608524903;106;52;227958
"201115";0,21;112;18307;3,53331055804478;107;48;227529
"201116";0,51;74;11308;4,34830445951747;87;39;184984
"201117";0,15;90;10185;6,64610159240485;81;41;174920
"201118";0,53;102;18333;1,19392223247485;103;44;217757
"201119";0,48;107;16247;1,88714753926669;101;42;212870
"201120";0,05;69;14838;11,1785475920709;96;35;199506
"201121";0,16;91;12126;4,56930683682121;80;26;164436
"201122";0,21;68;13173;2,44779258139895;83;26;170042
"201123";0,04;60;13166;23,9125270530953;83;27;170617
"201124";0,05;40;10434;30,9585318801822;81;27;166879
"201125";0,2;40;11997;2,86909740803489;79;26;162567
"201126";0,18;37;10683;31,341345486203;71;25;147043
"201127";0,59;33;11319;16,6191701779475;65;28;137553
"201128";0,39;35;10080;1,33996222344459;64;21;131664
"201129";0,02;38;8257;1,43134084811755;55;19;113696
"201130";0,1;30;10301;1,10057117103587;64;15;128217
"201131";0,02;39;12292;4,68202435062968;65;24;135255
"201132";0,02;25;9527;1,2796017736465;59;13;117725
"201133";0,19;32;7838;11,8224751252648;53;15;107661
"201134";0,01;23;9970;7,74752138508309;61;19;124908
"201135";0,35;38;11144;3,65390477620585;69;21;141007
"201136";0,03;32;11207;3,21777509470721;71;25;147043
"201137";0,52;41;11343;1,87190352630425;74;27;153798
"201138";0,35;43;12110;1,37383705563435;86;31;178520
"201139";1,58;82;12306;1,316842126977;75;35;160262
"201140";0,51;82;13781;2,94352604631665;80;31;167308
"201141";0,1;93;11481;42,2715998911311;80;35;169605
"201142";1,48;81;11530;2,08996974412208;83;36;175786
"201143";0,55;87;11225;2,11667880738441;89;37;187573
"201144";1,27;101;14696;1,80213533870657;86;37;181967
"201145";2,72;115;11345;2,55984341816174;81;27;166879
"201146";1,34;150;17060;1,26469634425175;108;60;236291
"201147";3,65;213;17515;1,15417529645034;110;61;240603
"201148";1,19;146;17796;1,2037241714011;113;63;247358
"201149";1,32;150;18262;1,67597806514872;111;63;243620
"201150";1,02;187;18755;1,49515989117655;114;58;246355
"201151";1,84;120;14444;1,63427917899195;93;51;203090
"201152";0,61;71;9715;2,98119568661895;85;46;185268
"201201";1,28;81;8231;1,90025209401979;77;44;169169
"201202";4,2;188;16522;1,14504996586615;105;56;228387
"201203";1,54;181;17978;1,44650759757649;105;63;232408
"201204";5,04;253;17765;1,10091963967921;111;65;244769
"201205";9,81;412;16872;1,06944958582043;111;73;249364
"201206";15,98;508;16954;1,03601137309841;100;70;227085
"201207";21,36;925;19936;1,03061507837713;110;79;250942
"201208";25,47;1088;20698;1,02143762995126;111;74;249939
"201209";28,35;973;16760;1,02407416022713;110;76;249219
"201210";27,29;1057;21162;1,01591912709561;114;77;257268
"201211";27,66;791;17974;1,02158044345344;108;74;244332
"201212";15,77;656;19130;1,04140452581087;111;72;248790
"201213";9,64;400;15225;1,04936588738996;102;65;227950
"201214";3,86;235;15749;1,18607605030311;94;64;212426
"201215";0,34;111;10239;4,66298751259902;85;49;186991
"201216";0,16;102;9833;3,94855015418567;82;53;183682
"201217";0,57;77;13169;2,46969655517145;85;57;191586
"201218";0,82;95;12401;1,61052758223056;96;55;210994
"201219";0,12;52;13936;4,16177407766775;99;56;217174
"201220";0,22;63;13186;2,96360579504827;92;55;203518
"201221";0,59;50;9725;1,52349545706228;82;41;176789
"201222";0,18;44;7667;11,4812736067075;78;38;167591
"201223";0,11;35;8219;67,2973691622763;82;42;177364
"201224";1,06;31;8835;1,56062696735216;78;40;168740
"201225";0,05;36;12378;41,0030231435072;79;38;169460
"201226";0,4;27;10369;1,39212383436407;73;39;158822
"201227";0,03;23;9734;2,41648032486162;73;40;159396
"201228";0,31;22;7224;2,42466533514673;59;34;129787
"201229";0,48;33;9142;2,73449562281957;68;33;146031
"201230";0,11;28;8581;17,0662004088364;64;30;136833
"201231";0,04;25;7326;77,2822060169396;60;25;126486
"201232";0,01;22;6839;1,05597735005779;49;23;104781
"201233";0,01;14;4796;1,20811928356125;42;22;91125
"201234";0,02;15;7308;1,57133898355886;54;26;115848
"201235";0,26;18;7214;144,441372811582;59;31;128064
"201236";0,13;16;6363;3,69584175973323;70;39;153215
"201237";1,07;26;6078;1,5329557907589;68;36;147755
"201238";0,01;28;8519;3,05109645513532;61;33;132950
"201239";0,13;30;8892;6,60584915353379;71;38;154510
"201240";0,06;47;8800;3,00291536518471;65;35;141574
"201241";0,13;70;9474;2,00168270631044;69;43;153644
"201242";0,66;51;8882;2,23457243760543;72;40;157527
"201243";0,45;46;9733;2,3066575599119;74;43;162988
"201244";0,29;45;8345;3,909764987714;68;30;144308
"201245";0,17;50;8236;9,30693030817981;71;36;153361
"201246";0,13;55;8525;10,5230521126943;70;41;154364
"201247";0,02;103;8910;5,99752052868252;73;38;158247
"201248";0,16;84;7325;6,26618911018147;67;43;149906
"201249";0,51;95;6927;3,00143428703229;68;45;152924
"201250";0,11;103;7172;5,8533157980718;70;47;157810
"201251";0,11;48;7957;6,64598334824558;55;44;128056
"201252";0,52;51;5005;4,36121734463908;57;33;125475
"201301";0,54;67;6618;2,93451597573946;64;55;151193
"201302";3,05;136;11789;1,17408966728564;85;61;193883
"201303";4,14;199;11320;1,1657636964568;83;71;195890
"201304";3,13;241;12787;1,35487805404673;84;74;199482
"201305";8,57;325;12049;1,18535748419359;80;73;191432
"201306";10,24;328;12408;1,06970429725042;81;80;197322
"201307";11,83;327;11711;1,04139801027295;77;76;187549
"201308";11,65;337;11521;1,06840274529476;80;75;192581
"201309";10,73;300;12062;1,05330423836295;77;77;188124
"201310";12,11;317;11999;1,0443451688669;80;76;193155
"201311";11,1;276;11073;1,0671087457848;76;75;185106
"201312";10,16;283;9073;1,10591218620815;70;74;173319
"201313";5,79;213;9588;1,11794519849452;75;74;182663
"201314";3,68;246;11801;1,14701508216113;73;74;178925
"201315";3,13;120;10757;1,11684346991913;70;69;170447
"201316";1,84;138;10069;1,32958322510396;69;73;170876
"201317";0,69;108;9228;1,70604281664396;58;61;143427
"201318";0,01;21;4956;11,230366083937;45;47;111091
"201319";0,21;20;6341;2,87023875944661;53;63;135232
"201320";0,13;41;8582;3,89245220748578;51;61;130345
"201321";0,04;20;3586;24,070778190068;25;42;70844
"201322";0,13;15;3695;10,133162149465;23;42;67106
"201323";0,1;36;4150;25,0228229263532;24;40;67826
"201324";0,03;40;3833;25,9716222972646;24;39;67252
"201325";0,12;15;3410;20,4492206599815;22;35;61217
"201326";0,26;21;2821;4,71662091699463;19;36;56185
"201327";0,29;21;3689;13,2557890864993;25;35;66823
"201328";0,81;20;3220;1,44996571924161;22;35;61217
"201329";0,24;14;3023;1,26725910116425;24;35;64954
"201330";0,46;5;2194;4,43380260985315;13;26;39228
"201331";0,02;2;2260;1,0065839307951;15;23;41243
"201332";0,02;1;1270;1,01321120973492;11;19;31470
"201333";0,04;3;1104;1,18558357944627;13;17;34059
"201334";1,15;14;2641;1,91063640188998;22;23;54324
"201335";0,2;11;3096;12,2348099617331;20;32;55756
"201336";0,08;11;3581;13,3294099746532;20;33;56330
"201337";0,04;14;3879;24,4882939015745;24;39;67252
"201338";0,11;31;4554;7,84970967794817;23;41;66532
"201339";0,08;29;4569;4,5086164168068;24;43;69549
"201340";0,59;57;4089;1,67274038456819;21;36;59922
"201341";1,43;47;4019;1,54831430864707;24;39;67252
"201342";0,64;49;3837;3,14506866085861;25;40;69695
"201343";0,51;114;7159;2,20521190191246;55;40;125758
"201344";0,24;89;6669;7,54664347940094;61;37;135248
"201345";0,07;110;8624;5,90033047160707;71;44;157956
"201346";0,35;107;8748;3,6831645923713;71;56;164849
"201347";0,31;100;10514;3,27736736371156;89;60;200784
"201348";0,23;107;8207;3,19931179274361;85;57;191586
